LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
114;149210190;Uście Gorlickie;Ropa (2182);49 31 11;21 08 27;
115;149210200;Uście Gorlickie;Zdynia (218218);49 31 03;21 08 37;
116;149210210;Pastwiska;Wisłok (226);49 31 20;21 55 42;
117;149210450;Darów;Wisłok (226);49 26 37;21 54 38;
118;149210460;Odrzechowa;Odrzechowski (226156);49 32 45;21 57 05;
119;149210470;Miejsce Piastowe;Lubatówka (22632);49 37 52;21 46 50;
120;149210480;Wisłok Wielki;Wisłok (226);49 24 02;21 58 46;
121;149220010;NOWOSIELCE;Pielnica (22618);49 34 01;22 04 15;
122;149220020;SZCZAWNE;Osława (222);49 24 13;22 09 01;
123;149220030;OLCHOWCE;San (22);49 33 22;22 13 07;
124;149220040;DYNÓW;San (22);49 48 03;22 14 39;
125;149220050;ZAGÓRZ;Osława (222);49 30 48;22 16 08;
126;149220060;LESKO;San (22);49 28 09;22 19 20;
127;149220070;HOCZEW;Hoczewka (2218);49 25 26;22 19 42;
